Station,Longitude,Latitude
Diversey,-87.653131,41.932732
35-Bronzeville-IIT,-87.625881,41.831678
Main,-87.679538,42.033456
Granville,-87.659202,41.993664
Thorndale,-87.659076,41.990259
Wellington,-87.653266,41.936033
Fullerton,-87.652866,41.925051
Skokie,-87.751919,42.038951
Davis,-87.683543,42.047710
Dempster,-87.681602,42.041655
Washington,-87.629440,41.883164
Chicago,-87.635947,41.896774
Western,-87.688503,41.966250
Francisco,-87.701656,41.966147
Addison,-87.674736,41.947029
Paulina,-87.670884,41.943709
Damen,-87.678635,41.966411
Montrose,-87.675165,41.961752
LaSalle/Van Buren,-87.631734,41.876855
Madison/Wabash,-87.626156,41.882031
Randolph/Wabash,-87.626222,41.884435
State/Lake,-87.627835,41.885740
Lake,-87.627813,41.884809
Harrison,-87.627479,41.874039
Cumberland,-87.838026,41.984294
Oak Park,-87.793783,41.886988
Austin,-87.774135,41.887293
Ashland,-87.666951,41.885311
Clinton,-87.641771,41.885703
Grand,-87.647578,41.891189
Chicago,-87.655214,41.896075
Damen,-87.677437,41.909744
California,-87.696890,41.921939
Belmont,-87.712359,41.938132
Montrose,-87.743617,41.961487
Jefferson Park,-87.760892,41.970634
87th,-87.624753,41.735371
79th,-87.625178,41.750412
47th,-87.631026,41.810338
Sox-35th,-87.630636,41.831191
Cermak-Chinatown,-87.630968,41.853206
Cottage Gr-East 63rd,-87.605857,41.780309
King Drive,-87.615546,41.780130
Halsted,-87.644023,41.779028
Ashland,-87.663845,41.778953
47th,-87.618826,41.809209
Roosevelt,-87.626590,41.867405
O'Hare,-87.901848,41.978877
Lawrence,-87.658493,41.969139
Belmont,-87.653380,41.939751
North/Clybourn,-87.649177,41.910655
Loyola,-87.661061,42.001073
Noyes,-87.683337,42.058282
Howard,-87.672892,42.019063
Berwyn,-87.658668,41.977984
Kedzie,-87.706155,41.884321
Morse,-87.665909,42.008362
Chicago,-87.628176,41.896671
Grand,-87.628021,41.891665
Sedgwick,-87.639302,41.910409
Rockwell,-87.694111,41.966210
Pulaski,-87.725625,41.873889
Oak Park,-87.791602,41.872108
Harlem,-87.806961,41.873490
Pulaski,-87.724450,41.799888
Kedzie-Homan,-87.705978,41.874426
Forest Park,-87.817318,41.874257
Monroe,-87.627696,41.880745
Harlem,-87.808895,41.982323
Ridgeland,-87.783661,41.887159
Laramie,-87.754986,41.887163
California,-87.696234,41.884220
Western,-87.687364,41.916157
Addison,-87.719099,41.947360
Garfield,-87.618324,41.795177
Western,-87.684065,41.804684
35th/Archer,-87.680587,41.829560
Polk,-87.669543,41.871563
California,-87.694823,41.854280
Kedzie,-87.705428,41.854131
54th/Cermak,-87.756692,41.851773
UIC-Halsted,-87.649642,41.875516
Clinton,-87.640984,41.875539
LaSalle,-87.631722,41.875568
Wilson,-87.657588,41.964273
Armitage,-87.652644,41.918217
Central,-87.765650,41.887389
Pulaski,-87.725404,41.885412
Central,-87.685617,42.063987
Foster,-87.683560,42.054160
Conservatory,-87.716523,41.884904
Sheridan,-87.654929,41.953775
Addison,-87.653626,41.947428
Clark/Lake,-87.630886,41.885737
Jackson,-87.629296,41.878183
Clark/Division,-87.631412,41.903920
Linden,-87.690730,42.073153
South Boulevard,-87.678329,42.027612
Jarvis,-87.669092,42.015876
Bryn Mawr,-87.658840,41.983504
Merchandise Mart,-87.633973,41.888968
Washington/Wells,-87.633854,41.882695
Southport,-87.663610,41.943812
Adams/Wabash,-87.626098,41.879510
Jackson,-87.627596,41.878153
Rosemont,-87.859388,41.983507
Harlem,-87.803176,41.886848
Division,-87.666496,41.903355
95/Dan Ryan,-87.624415,41.722376
63rd,-87.631000,41.780534
Garfield,-87.631169,41.795418
Roosevelt,-87.627402,41.867368
43rd,-87.619036,41.816463
Indiana,-87.621463,41.821815
Irving Park,-87.729177,41.952940
Cicero,-87.744698,41.886519
Washington,-87.627748,41.883215
Monroe,-87.629378,41.880703
Quincy/Wells,-87.633740,41.878723
Argyle,-87.658530,41.973453
Kimball,-87.713142,41.967928
Kedzie,-87.708844,41.966093
Irving Park,-87.674956,41.954523
Racine,-87.659456,41.875886
Medical District,-87.673946,41.875635
Western,-87.688435,41.875530
Austin,-87.776785,41.870886
Cicero,-87.745172,41.871608
Library,-87.628209,41.876908
Logan Square,-87.708541,41.929728
69th,-87.625809,41.768368
51st,-87.618502,41.802092
Midway,-87.737956,41.786614
Kedzie,-87.704321,41.804348
Ashland,-87.665312,41.839356
Halsted,-87.648131,41.846901
18th,-87.669160,41.857908
Damen,-87.675974,41.854515
Western,-87.685179,41.854397
Central Park,-87.714880,41.853992
Pulaski,-87.724327,41.853857
Kostner,-87.733264,41.853751
Cicero,-87.745342,41.851925